CampoB,CampoE,DensityPolarX,DensityPolarY,DensityPolarZ,DensityMagnet,DensityabsMagnet,DensityChiral
0.0,0.0,-2.0799999999999996e-06,1.38e-06,-0.26857306,4.2000000000000006e-07,0.63662264,9.316938238280617e-06
0.1,0.0,-7.32e-06,-1.588e-05,-0.15194796,0.04579242,0.63784204,-0.6882154784679095
0.2,0.0,-1.058e-05,-6.559999999999998e-06,-0.054470399999999995,0.11218181999999999,0.6418803800000001,-4.332884141469766
0.3,0.0,-9.400000000000003e-07,9.020000000000002e-06,-0.01242038,0.28323414,0.65382706,-22.13240456265776
0.4,0.0,-1.5999999999999998e-07,7.600000000000001e-07,1.3600000000000001e-06,0.34636486,0.66485074,-24.247218165801392
0.5,0.0,1.8000000000000013e-07,-1.5800000000000001e-06,-2.7799999999999996e-06,0.39821318000000006,0.67837096,-24.215157209406705
0.6,0.0,-8.200000000000001e-07,5.04e-06,1.38e-06,0.45185236,0.6948397399999999,-24.690505179702
0.7,0.0,4.000000000000001e-07,-9.2e-07,-6.4e-07,0.50513478,0.7145478000000001,-24.335402422021975
0.8,0.0,7.200000000000002e-07,4.3799999999999996e-06,2.52e-06,0.56638772,0.74116918,-22.652685700552905
0.9,0.0,1.999999999999999e-07,8.200000000000001e-07,-1.84e-06,0.64611542,0.7813504600000001,-19.714734480788394
1.0,0.0,3.3399999999999998e-06,-2.34e-06,2.7799999999999996e-06,0.73944028,0.8339389800000001,-15.7200836535003
1.1,0.0,-5.8e-06,-1.48e-06,1.3e-06,0.9020183200000002,0.9357727200000001,-6.651298824003132
1.2,0.0,-5.559999999999999e-06,-3.88e-06,-2e-08,0.9998304999999998,0.9998304999999998,0.0
1.3,0.0,-7.72e-06,1.6000000000000004e-06,0.0,0.99983472,0.99983472,0.0
0.0,0.4,0.022963699999999997,0.02217388,-0.11979228000000001,3.6000000000000005e-07,0.63621582,7.169936242475944e-07
0.1,0.4,0.01822964,0.02169094,0.026578539999999994,0.04180098,0.6376266,-0.17159080274638
0.2,0.4,0.02093988,0.02098008,0.012817240000000008,0.10524929999999999,0.6414924799999999,-3.2858188982330603
0.3,0.4,0.02442472,0.024384659999999996,-0.0012195799999999998,0.28727154,0.65420718,-22.50363223081306
0.4,0.4,0.0258281,0.025756960000000002,0.0022609400000000003,0.34619338,0.6648859,-24.059211192421674
0.5,0.4,0.027676860000000005,0.027679319999999997,0.0007789399999999999,0.3995873,0.6784229399999999,-24.507565562342638
0.6,0.4,0.030102640000000003,0.03010182,0.00099238,0.45266967999999996,0.6951219799999999,-24.386578832692997
0.7,0.4,0.03286386,0.032860299999999995,0.00121216,0.50670868,0.71492466,-24.309329882320736
0.8,0.4,0.03668658,0.0366859,0.00150192,0.5638873400000001,0.7391639999999999,-23.514464556960014
0.9,0.4,0.045397879999999995,0.04540635999999999,0.0021806200000000003,0.64399002,0.77950346,-20.13848582087414
1.0,0.4,0.0562063,0.05620208,0.0029923000000000003,0.73340316,0.82926384,-16.167700949200885
1.1,0.4,0.09004342,0.09004014,0.00603274,0.9230179,0.94810226,-5.009632758412143
1.2,0.4,0.09778104,0.09778617999999999,0.00643218,0.99553204,0.99553204,0.0
1.3,0.4,0.09055724000000001,0.09054678,0.0055090799999999995,0.9961543200000001,0.9961543200000001,0.0
0.0,0.8,0.05220192,0.04748668,-0.26483026,1.6399999999999995e-06,0.6357468199999999,1.554945107413762e-06
0.1,0.8,0.05018659999999999,0.05006337999999999,-0.26128318,0.04181918,0.63676384,-0.0012649629646134602
0.2,0.8,0.0541658,0.05047112,-0.29849892,0.10145002,0.64062328,-2.5929691676826065
0.3,0.8,0.04913102,0.049288359999999996,-0.0030068199999999995,0.29012484,0.65414828,-22.34959234177598
0.4,0.8,0.051681099999999994,0.0516795,0.00236126,0.34991864,0.6652521,-24.036848386485822
0.5,0.8,0.05541426000000001,0.05541222,0.00316032,0.40356667999999996,0.6790394799999999,-24.44470138130692
0.6,0.8,0.06011636,0.06011248,0.00400814,0.45716898000000006,0.6958664600000001,-24.465257536788698
0.7,0.8,0.06538093999999998,0.06538266,0.004832400000000001,0.51057164,0.71543902,-24.38407506469654
0.8,0.8,0.07441800000000001,0.07442042,0.00613944,0.57140744,0.7415995,-22.82819899636808
0.9,0.8,0.08871187999999999,0.08872208000000001,0.008319219999999999,0.64510798,0.77795592,-20.342018232009906
1.0,0.8,0.1295096,0.12950518,0.01519,0.78316546,0.8574302599999999,-12.768155639341861
1.1,0.8,0.18854664,0.18854149999999997,0.02540098,0.95808586,0.96658644,-1.7573053811923263
1.2,0.8,0.18441676,0.18442023999999999,0.023413800000000002,0.9840937799999999,0.9840937799999999,0.0
1.3,0.8,0.17210792000000003,0.17211042000000001,0.02030536,0.98620184,0.98620184,0.0
0.0,1.2,0.08073243999999999,0.07240018000000001,-0.3069722,3.86e-06,0.6347615999999999,1.2668744170945288e-06
0.1,1.2,0.07675942,0.07449829999999999,-0.29059526,0.0420876,0.63581572,-0.00039942194875843126
0.2,1.2,0.0749582,0.07697592,-0.26928872000000004,0.094348,0.63948634,-1.3799145448642247
0.3,1.2,0.07319808,0.07208427999999999,-0.012987320000000002,0.28603152,0.6537604800000001,-21.49801523989445
0.4,1.2,0.07703876,0.0770374,0.00541524,0.35526468,0.66547208,-24.12194476761767
0.5,1.2,0.08300130000000001,0.08299628,0.007217319999999999,0.40966500000000006,0.6799711800000001,-24.358900744527453
0.6,1.2,0.09029418,0.09029144,0.00912414,0.4640283,0.6972309200000001,-24.21683974913977
