CampoB,CampoE,DensityPolarX,DensityPolarY,DensityPolarZ,DensityMagnet,DensityabsMagnet,DensityChiral
0.0,0.0,-2.0799999999999996e-06,1.38e-06,-0.26857306,4.2000000000000006e-07,0.63662264,9.316938238280617e-06
0.1,0.0,-7.32e-06,-1.588e-05,-0.15194796,0.04579242,0.63784204,-0.6882154784679095
0.2,0.0,-1.058e-05,-6.559999999999998e-06,-0.054470399999999995,0.11218181999999999,0.6418803800000001,-4.332884141469766
0.3,0.0,-9.400000000000003e-07,9.020000000000002e-06,-0.01242038,0.28323414,0.65382706,-22.13240456265776
0.4,0.0,-1.5999999999999998e-07,7.600000000000001e-07,1.3600000000000001e-06,0.34636486,0.66485074,-24.247218165801392
0.5,0.0,1.8000000000000013e-07,-1.5800000000000001e-06,-2.7799999999999996e-06,0.39821318000000006,0.67837096,-24.215157209406705
0.6,0.0,-8.200000000000001e-07,5.04e-06,1.38e-06,0.45185236,0.6948397399999999,-24.690505179702
0.7,0.0,4.000000000000001e-07,-9.2e-07,-6.4e-07,0.50513478,0.7145478000000001,-24.335402422021975
0.8,0.0,7.200000000000002e-07,4.3799999999999996e-06,2.52e-06,0.56638772,0.74116918,-22.652685700552905
0.9,0.0,1.999999999999999e-07,8.200000000000001e-07,-1.84e-06,0.64611542,0.7813504600000001,-19.714734480788394
1.0,0.0,3.3399999999999998e-06,-2.34e-06,2.7799999999999996e-06,0.73944028,0.8339389800000001,-15.7200836535003
1.1,0.0,-5.8e-06,-1.48e-06,1.3e-06,0.9020183200000002,0.9357727200000001,-6.651298824003132
1.2,0.0,-5.559999999999999e-06,-3.88e-06,-2e-08,0.9998304999999998,0.9998304999999998,0.0
1.3,0.0,-7.72e-06,1.6000000000000004e-06,0.0,0.99983472,0.99983472,0.0
0.0,0.4,-2.82e-06,4.1999999999999995e-07,0.37482526,1.48e-06,0.63234272,5.586343221107784e-07
0.1,0.4,9.400000000000001e-07,1.3399999999999999e-06,0.37395058000000003,0.0402154,0.6337621,-0.00017733615780544248
0.2,0.4,-8.000000000000025e-08,2.2000000000000006e-07,0.37137768,0.07998217999999999,0.6365102200000001,-0.00035835834720635094
0.3,0.4,-1.46e-06,-7e-07,0.34871748,0.13082698,0.6420737599999999,-1.5491928299046027
