CampoB,CampoE,DensityPolarX,DensityPolarY,DensityPolarZ,DensityMagnet,DensityabsMagnet,DensityChiral
0.0,0.0,1.8999999999999995e-07,-4.000000000000003e-07,-0.07349461999999998,-1.075e-06,0.6365345200000001,-6.774037987133904e-07
0.05,0.0,-1.99e-06,2.899999999999999e-07,6.200000000067263e-07,0.029779799999999995,0.6370542,-0.00037635361393434537
0.1,0.0,8.800000000000004e-07,5.999999999999986e-08,0.03656243,0.05935685,0.6386954049999999,-0.0008033181446337684
0.15,0.0,-1.9999999999999994e-07,-3.899999999999998e-07,1.8000000000517603e-07,0.08854358999999999,0.64132915,-0.0011601868003144901
0.2,0.0,3.05e-07,3.6000000000000015e-07,-0.10678679500000002,0.11795462500000002,0.6449126300000001,-0.123664374369348
0.25,0.0,-7.610000000000001e-06,9.000000000000005e-07,0.01560222,0.2806117999999999,0.65753742,-20.085457920989057
0.3,0.0,-2.6e-06,1.7499999999999998e-06,0.0014985850000000002,0.3675550150000001,0.66631269,-26.468855690908118
0.35,0.0,1.3299999999999985e-06,8.700000000000008e-07,0.0018888099999999999,0.40911583,0.6830277600000001,-27.229321504397454
0.4,0.0,4.795000000000001e-06,4.499999999999998e-08,-2.2685000000000065e-05,0.44951030000000003,0.6939515949999999,-27.111382649589853
0.45,0.0,-9.599999999999997e-07,1.949999999999999e-06,0.00029931999999999995,0.49063062999999996,0.7064519499999999,-26.783760225713735
0.5,0.0,-9.900000000000003e-07,-1.1150000000000001e-06,-0.00014511,0.5339755500000001,0.7291092499999999,-25.921236986884033
0.55,0.0,1.9999999999999995e-06,-6.269999999999999e-06,-0.0006112400000000001,0.5763104,0.74852852,-25.27797373105657
0.6,0.0,1.0749999999999997e-06,1.6350000000000004e-06,-5.4239999999999996e-05,0.6299602,0.7725103000000002,-23.152823717448808
0.65,0.0,-2.399999999999999e-07,-9.699999999999998e-07,0.00045687999999999995,0.69521504,0.8078643199999999,-20.079642475227512
0.7,0.0,3.45e-06,-5.6e-06,-7.968000000000001e-05,0.789695855,0.8653754050000002,-14.593207609045098
0.75,0.0,6.16e-06,1.19e-06,-4.000000000000004e-08,0.94469802,0.96421597,-4.174109787161915
0.8,0.0,3.839999999999999e-06,2.995e-06,5e-09,0.9997337300000002,0.9997337300000002,-1.392606928338835e-09
0.85,0.0,-2.53e-06,5.940000000000001e-06,2e-08,0.9997390099999999,0.9997390099999999,-7.957753876221912e-10
