CampoB,CampoE,DensityPolarX,DensityPolarY,DensityPolarZ
0.0,0.0,-1.075e-06,0.6365345200000001,-6.774037987133904e-07
0.1,0.0,0.05935685,0.6386954049999999,-0.0008033181446337684
0.2,0.0,0.11795462500000002,0.6449126300000001,-0.123664374369348
0.3,0.0,0.3675550150000001,0.66631269,-26.468855690908118
0.4,0.0,0.44951030000000003,0.6939515949999999,-27.111382649589853
0.5,0.0,0.5339755500000001,0.7291092499999999,-25.921236986884033
0.6,0.0,0.6299602,0.7725103000000002,-23.152823717448808
0.7,0.0,0.789695855,0.8653754050000002,-14.593207609045098
0.8,0.0,0.9997337300000002,0.9997337300000002,-1.392606928338835e-09
0.9,0.0,0.9997440700000002,0.9997440700000002,-7.957753876221912e-10
0.0,0.2,-1.085e-06,0.6337992549999999,4.0783488615637304e-07
0.1,0.2,0.05838656000000002,0.6359210400000002,-0.0011546788409690632
0.2,0.2,0.115341995,0.642010365,-0.002462179581040174
0.3,0.2,0.319733205,0.6646937500000001,-20.976310575417223
0.4,0.2,0.44782204999999997,0.6938968799999999,-26.86984457850165
0.5,0.2,0.532375785,0.7276357750000002,-26.232595583963853
0.6,0.2,0.6305736000000001,0.7730065300000001,-22.947339454702874
0.7,0.2,0.7926273449999999,0.8672284450000001,-14.298798344349516
0.8,0.2,0.99973364,0.99973364,-1.989438469055478e-10
0.9,0.2,0.9997439749999998,0.9997439749999998,-5.968315407166435e-10
0.0,0.4,-1.225e-06,0.63107888,4.563771848013267e-07
0.1,0.4,0.057434530000000004,0.63313087,-0.0011291054052247431
0.2,0.4,0.113546,0.63913375,-0.0024053202359314873
0.3,0.4,0.187421085,0.6504063699999998,-2.7080680286495054
0.4,0.4,0.44071023,0.691865385,-26.641657966189097
0.5,0.4,0.531157415,0.7276106200000001,-25.850351776687916
0.6,0.4,0.6253321050000001,0.7702063149999999,-23.217376544202146
0.7,0.4,0.788498805,0.86480578,-14.488055754808869
0.8,0.4,0.9993064599999999,0.9994497099999998,-0.0354434722942841
0.9,0.4,0.9997437149999998,0.9997437149999998,-3.978876938110956e-10
0.0,0.6,-7.15e-07,0.628275305,-5.968315407166907e-10
0.1,0.6,0.056497509999999994,0.630327955,-0.0011104619794435303
0.2,0.6,0.11177498499999998,0.63623799,-0.0023625594444214556
0.3,0.6,0.16505484499999998,0.6453186800000001,-0.04240957365537833
0.4,0.6,0.41649284499999994,0.686376425,-24.17897466410321
0.5,0.6,0.5280321649999999,0.72627543,-25.54973489697892
0.6,0.6,0.6263444650000001,0.770845125,-22.707120400617203
0.7,0.6,0.783419865,0.861370615,-14.712496449847052
0.8,0.6,0.9993028599999999,0.9994486049999999,-0.03541271000512479
0.9,0.6,0.9997432999999999,0.9997432999999999,0.0
0.0,0.8,-1.999999999999999e-07,0.6254691800000001,-8.586416432443443e-07
0.1,0.8,0.05558323500000002,0.6275032150000001,-0.001096546056296334
0.2,0.8,0.110034695,0.6333304400000002,-0.0023342077578550995
0.3,0.8,0.162365175,0.64228906,-0.0038762782142163685
0.4,0.8,0.347466905,0.6756283349999999,-14.78651464465446
0.5,0.8,0.522490565,0.7254287850000001,-24.950557579919725
0.6,0.8,0.6211749000000001,0.768179385,-22.536592117367327
0.7,0.8,0.7855243799999999,0.8628433900000001,-14.333545942699399
0.8,0.8,0.9997319950000001,0.9997319950000001,-3.978876938110956e-10
0.9,0.8,0.999742665,0.999742665,-7.957753876221912e-10
0.0,1.0,-1.6749999999999996e-06,0.62269515,9.847720421824622e-08
